nombre,clase,split,n_vertices,n_caras,t_preproceso_ms,t_muestreo_ms,t_total_ms,t_arbol_32_ms,t_guardado_32_ms,t_guardado_denso_32_ms,nodos_totales_32,hojas_ocupadas_32,ocup_hoja_pct_32,tam_npz_disperso_kib_32,tam_npz_denso_kib_32,factor_reduccion_almacenamiento_32,t_arbol_64_ms,t_guardado_64_ms,t_guardado_denso_64_ms,nodos_totales_64,hojas_ocupadas_64,ocup_hoja_pct_64,tam_npz_disperso_kib_64,tam_npz_denso_kib_64,factor_reduccion_almacenamiento_64
airplane_0007,airplane,train,9038,13252,28.709,9.495,152.912,34.371,3.187,3.256,629,443,1.3519,6.427,7.892,1.228,72.641,4.509,15.803,2477,1848,0.705,21.342,32.149,1.506
airplane_0006,airplane,train,25274,32304,41.088,12.521,176.738,25.886,2.348,2.873,619,400,1.2207,5.928,7.521,1.269,88.088,6.807,17.058,2377,1758,0.6706,19.844,30.9,1.557
airplane_0004,airplane,train,58194,75957,91.784,29.414,231.741,29.365,2.271,3.346,592,407,1.2421,6.094,7.58,1.244,73.255,5.652,15.565,2225,1633,0.6229,20.067,30.018,1.496
airplane_0008,airplane,train,38216,49360,61.778,16.974,199.401,27.535,2.779,3.623,732,516,1.5747,7.337,8.988,1.225,85.168,5.167,16.668,2744,2012,0.7675,24.297,35.56,1.464
airplane_0010,airplane,train,34419,39805,57.553,15.147,202.047,32.642,2.688,3.314,715,508,1.5503,7.298,9.016,1.235,87.585,6.432,15.637,2726,2011,0.7671,24.229,35.411,1.462
airplane_0005,airplane,train,17443,17116,35.522,11.289,176.526,30.049,3.003,3.038,707,505,1.5411,6.09,7.518,1.234,91.308,5.355,17.799,2689,1982,0.7561,16.36,26.669,1.63
airplane_0003,airplane,train,42472,44580,77.325,14.048,229.363,22.663,2.507,2.967,742,534,1.6296,7.479,9.215,1.232,105.662,7.158,16.699,2927,2185,0.8335,25.042,36.678,1.465
airplane_0009,airplane,train,42109,42888,58.481,16.489,227.213,38.218,2.504,2.936,802,583,1.7792,8.034,10.073,1.254,105.413,6.108,14.962,2946,2144,0.8179,23.653,36.235,1.532
airplane_0002,airplane,train,94335,118614,140.8,37.716,315.074,39.559,2.718,3.366,645,454,1.3855,6.576,8.306,1.263,88.633,5.649,16.044,2319,1674,0.6386,20.611,31.178,1.513
airplane_0001,airplane,train,90714,104773,136.141,36.154,363.031,45.88,2.706,2.901,1004,739,2.2552,9.42,11.671,1.239,133.767,8.383,15.719,3851,2847,1.086,30.697,45.467,1.481
airplane_0014,airplane,train,28954,29272,49.9,11.67,185.266,29.676,2.379,2.84,751,530,1.6174,7.336,8.871,1.209,87.305,4.336,14.644,2710,1959,0.7473,21.207,31.528,1.487
airplane_0017,airplane,train,9084,13988,29.858,8.509,186.371,34.506,2.871,2.772,789,571,1.7426,7.159,8.87,1.239,102.425,8.203,15.631,3355,2566,0.9789,21.432,33.703,1.573
airplane_0011,airplane,train,53983,59156,85.644,18.272,224.995,30.978,2.963,3.238,649,454,1.3855,6.646,8.198,1.233,81.627,5.512,15.914,2347,1698,0.6477,21.37,32.574,1.524
airplane_0016,airplane,train,21522,25542,37.474,9.65,207.88,44.858,2.729,3.584,983,706,2.1545,9.131,11.088,1.214,106.959,6.21,17.28,3672,2689,1.0258,26.03,39.217,1.507
airplane_0013,airplane,train,26538,31650,52.313,14.295,230.452,41.715,2.505,3.009,922,663,2.0233,8.753,10.587,1.21,113.266,6.358,16.721,3566,2644,1.0086,27.891,39.921,1.431
