clase,n,t_total_media_ms,nodos_media_32,hojas_media_32,ocup_pct_media_32,tam_disperso_kib_media_32,tam_denso_kib_media_32,factor_ahorro_media_32,nodos_media_64,hojas_media_64,ocup_pct_media_64,tam_disperso_kib_media_64,tam_denso_kib_media_64,factor_ahorro_media_64
airplane,726,293.11,729.7,520.0,1.5871,7.289,8.912,1.222,2753.6,2023.9,0.7721,23.423,34.688,1.499
bathtub,156,341.92,1906.0,1453.1,4.4344,10.412,11.753,1.127,7353.7,5447.7,2.0781,25.782,38.018,1.58
bed,615,410.59,2383.2,1844.5,5.6289,9.03,10.709,1.188,9122.2,6739.0,2.5707,21.124,35.401,1.765
bench,193,274.05,1485.8,1131.1,3.4517,7.966,9.56,1.207,6069.5,4583.7,1.7486,17.323,29.984,1.833
bookshelf,672,434.14,2588.8,2003.3,6.1136,6.151,7.032,1.14,9959.4,7370.6,2.8116,13.905,21.391,1.569
bottle,435,224.77,1092.4,824.1,2.5148,8.556,9.191,1.068,4324.8,3232.4,1.2331,23.361,31.608,1.399
bowl,84,533.64,3612.8,2746.3,8.3811,25.038,29.423,1.179,12339.8,8727.0,3.3291,46.782,78.876,1.729
car,297,474.97,2104.6,1643.6,5.016,18.563,21.643,1.168,8456.8,6352.2,2.4232,55.849,79.301,1.432
chair,989,330.04,1809.1,1351.9,4.1256,13.237,15.477,1.167,6894.0,5084.9,1.9398,35.189,52.479,1.536
cone,187,311.07,1920.4,1433.6,4.3749,10.801,13.294,1.221,6892.3,4972.0,1.8966,21.296,39.073,1.854
cup,99,537.17,3685.3,2818.9,8.6027,21.326,23.764,1.103,12422.0,8736.7,3.3328,39.17,61.512,1.587
curtain,158,266.76,989.1,714.4,2.1802,7.471,7.663,1.027,3744.7,2755.7,1.0512,22.437,27.784,1.36
desk,286,413.29,2359.7,1822.4,5.5614,6.073,7.104,1.171,9398.7,7038.9,2.6851,13.357,22.588,1.746
door,129,238.13,1228.7,906.8,2.7673,4.761,5.054,1.052,5007.2,3778.5,1.4414,8.717,13.599,1.619
dresser,286,625.07,4265.2,3304.1,10.0832,7.047,7.559,1.061,14267.2,10002.0,3.8155,17.14,25.606,1.514
flower_pot,169,468.96,2854.7,2158.0,6.5858,19.319,22.537,1.159,9625.1,6770.4,2.5827,44.441,67.166,1.545
glass_box,271,642.56,4182.3,3287.0,10.0311,6.671,8.017,1.205,14902.2,10719.9,4.0893,17.645,29.045,1.664
guitar,255,168.98,411.4,270.9,0.8266,3.686,4.305,1.163,1505.9,1094.5,0.4175,8.753,14.983,1.765
keyboard,165,245.7,1017.6,763.9,2.3312,7.075,8.865,1.257,4409.8,3392.2,1.294,17.599,30.767,1.857
lamp,144,213.54,1098.9,800.3,2.4424,7.903,8.943,1.12,4060.7,2961.8,1.1298,19.432,28.968,1.537
laptop,169,384.72,2278.2,1779.6,5.4308,7.043,8.533,1.212,9205.3,6927.1,2.6425,14.849,28.81,2.02
mantel,384,501.56,2866.6,2220.5,6.7764,6.901,8.124,1.174,10958.0,8091.4,3.0866,16.936,26.911,1.6
monitor,565,368.11,2104.6,1612.1,4.9197,8.051,8.817,1.088,8194.8,6090.2,2.3232,16.367,24.668,1.524
night_stand,286,659.3,4107.8,3193.6,9.746,7.756,8.778,1.129,13947.3,9839.5,3.7535,18.204,28.944,1.614
person,108,194.99,759.9,565.7,1.7263,7.64,8.485,1.092,3042.3,2282.5,0.8707,25.918,34.904,1.449
piano,331,466.08,2519.5,1922.8,5.8678,8.489,10.172,1.193,9221.2,6701.7,2.5565,18.592,31.633,1.742
plant,340,385.58,1907.3,1394.7,4.2564,16.101,19.288,1.185,6243.4,4336.1,1.6541,41.339,60.68,1.527
radio,124,391.59,2087.0,1586.1,4.8405,6.963,8.04,1.148,7801.4,5714.5,2.1799,14.822,25.201,1.806
range_hood,215,452.28,2657.9,2037.5,6.218,8.191,9.716,1.19,9646.8,6988.8,2.666,17.96,31.007,1.778
sink,148,397.1,2072.1,1563.4,4.7712,8.088,9.564,1.184,7798.1,5726.1,2.1843,18.678,31.004,1.729
sofa,780,475.88,2606.4,2025.7,6.1821,11.934,13.477,1.13,9853.8,7247.4,2.7646,28.245,43.213,1.593
stairs,144,360.73,1636.7,1218.4,3.7184,8.813,10.348,1.183,6177.0,4540.3,1.732,17.946,29.044,1.731
stool,110,280.84,1347.9,993.2,3.031,8.964,10.292,1.147,5176.8,3828.9,1.4606,21.924,32.934,1.534
table,492,408.45,2110.8,1612.0,4.9193,6.888,8.31,1.213,8379.3,6268.5,2.3913,15.217,26.973,1.858
tent,183,405.43,2174.4,1627.6,4.967,9.678,11.864,1.231,7849.2,5674.8,2.1648,20.399,38.054,1.991
toilet,444,533.17,3022.5,2323.7,7.0915,20.316,23.371,1.146,10921.4,7898.9,3.0132,50.759,74.17,1.501
tv_stand,367,523.47,3068.5,2386.3,7.2826,6.221,7.267,1.172,11378.9,8310.4,3.1702,14.386,24.338,1.765
vase,575,491.51,2946.5,2238.4,6.831,22.926,26.21,1.13,10165.3,7218.8,2.7538,53.426,79.454,1.497
wardrobe,107,446.64,2656.8,2032.2,6.2018,5.03,5.286,1.043,9872.1,7215.3,2.7524,11.077,16.828,1.587
xbox,123,389.46,2214.2,1703.2,5.1977,9.958,10.702,1.056,8377.6,6163.4,2.3511,21.515,31.712,1.549
