nombre,clase,split,n_vertices,n_caras,t_preproceso_ms,t_muestreo_ms,t_total_ms,t_total_denso_ms,t_total_experimento_ms,t_arbol_32_ms,t_guardado_32_ms,t_denso_directo_32_ms,t_guardado_denso_32_ms,nodos_totales_32,hojas_ocupadas_32,ocup_hoja_pct_32,tam_npz_disperso_kib_32,tam_npz_denso_kib_32,factor_reduccion_almacenamiento_32,t_arbol_64_ms,t_guardado_64_ms,t_denso_directo_64_ms,t_guardado_denso_64_ms,nodos_totales_64,hojas_ocupadas_64,ocup_hoja_pct_64,tam_npz_disperso_kib_64,tam_npz_denso_kib_64,factor_reduccion_almacenamiento_64
airplane_0007,airplane,train,9038,13252,16.997,8.714,142.139,71.487,187.916,30.457,2.662,6.456,3.507,629,443,1.3519,6.427,7.892,1.228,79.102,4.208,19.53,16.284,2477,1848,0.705,21.342,32.156,1.507
airplane_0005,airplane,train,17443,17116,28.324,9.741,175.476,91.889,229.3,33.45,3.107,6.289,3.258,707,505,1.5411,6.09,7.519,1.235,94.243,6.611,27.912,16.365,2689,1982,0.7561,16.36,26.671,1.63
airplane_0006,airplane,train,25274,32304,42.649,13.7,182.232,103.108,228.99,32.386,2.665,6.718,3.404,619,400,1.2207,5.928,7.523,1.269,86.521,4.31,21.459,15.177,2377,1758,0.6706,19.844,30.896,1.557
airplane_0003,airplane,train,42472,44580,60.329,16.299,215.173,123.885,262.43,33.511,2.617,6.061,3.424,742,534,1.6296,7.479,9.216,1.232,97.784,4.633,22.025,15.747,2927,2185,0.8335,25.042,36.676,1.465
airplane_0004,airplane,train,58194,75957,92.299,25.358,233.869,163.133,279.345,30.182,2.759,6.475,3.438,592,407,1.2421,6.094,7.58,1.244,78.954,4.317,20.097,15.466,2225,1633,0.6229,20.067,30.021,1.496
airplane_0010,airplane,train,34419,39805,58.269,15.068,197.003,118.905,242.571,32.574,2.525,6.325,3.273,715,508,1.5503,7.298,9.014,1.235,84.334,4.233,20.858,15.112,2726,2011,0.7671,24.229,35.406,1.461
airplane_0008,airplane,train,38216,49360,58.654,19.395,217.857,122.73,262.538,36.276,2.426,3.841,3.347,732,516,1.5747,7.337,8.987,1.225,96.381,4.725,23.252,14.241,2744,2012,0.7675,24.297,35.561,1.464
airplane_0009,airplane,train,42109,42888,55.965,16.857,216.896,114.667,258.741,36.891,3.698,6.232,3.131,802,583,1.7792,8.034,10.073,1.254,99.392,4.093,18.035,14.447,2946,2144,0.8179,23.653,36.233,1.532
airplane_0002,airplane,train,94335,118614,140.806,37.422,282.471,219.885,324.128,24.358,2.479,5.83,3.324,645,454,1.3855,6.576,8.309,1.263,73.754,3.652,19.008,13.495,2319,1674,0.6386,20.611,31.18,1.513
airplane_0001,airplane,train,90714,104773,147.281,33.71,320.408,220.196,359.613,40.28,3.656,6.886,3.702,1004,739,2.2552,9.42,11.671,1.239,91.203,4.278,15.422,13.195,3851,2847,1.086,30.697,45.471,1.481
airplane_0017,airplane,train,9084,13988,11.379,8.786,164.066,68.482,212.382,27.473,2.793,4.001,2.775,789,571,1.7426,7.159,8.872,1.239,106.68,6.954,26.685,14.855,3355,2566,0.9789,21.432,33.701,1.572
airplane_0014,airplane,train,28954,29272,37.941,9.063,190.612,95.343,238.951,36.522,3.233,3.933,3.441,751,530,1.6174,7.336,8.872,1.209,99.223,4.63,25.085,15.88,2710,1959,0.7473,21.207,31.533,1.487
airplane_0019,airplane,train,43870,57164,61.033,15.103,191.019,124.111,238.993,31.655,2.195,6.386,3.042,754,538,1.6418,7.631,9.361,1.227,75.942,5.09,21.99,16.556,2726,1972,0.7523,23.87,35.135,1.472
