clase,n,t_total_media_ms,nodos_media_32,hojas_media_32,ocup_pct_media_32,tam_disperso_kib_media_32,tam_denso_kib_media_32,factor_reduccion_almacenamiento_32,nodos_media_64,hojas_media_64,ocup_pct_media_64,tam_disperso_kib_media_64,tam_denso_kib_media_64,factor_reduccion_almacenamiento_64
airplane,726,466.23,729.7,520.0,1.5871,7.289,8.912,1.223,2753.6,2023.9,0.7721,23.423,34.687,1.481
bathtub,156,441.94,1906.0,1453.1,4.4344,10.412,11.755,1.129,7353.7,5447.7,2.0781,25.782,38.027,1.475
bed,615,573.58,2383.2,1844.5,5.6289,9.03,10.709,1.186,9122.2,6739.0,2.5707,21.124,35.401,1.676
bench,193,406.09,1485.8,1131.1,3.4517,7.966,9.559,1.2,6069.5,4583.7,1.7486,17.323,29.986,1.731
bookshelf,672,550.08,2588.8,2003.3,6.1136,6.151,7.032,1.143,9959.4,7370.6,2.8116,13.905,21.391,1.538
bottle,435,272.59,1092.4,824.1,2.5148,8.556,9.192,1.074,4324.8,3232.4,1.2331,23.361,31.612,1.353
bowl,84,722.44,3612.8,2746.3,8.3811,25.038,29.42,1.175,12339.8,8727.0,3.3291,46.782,78.891,1.686
car,297,617.51,2104.6,1643.6,5.016,18.563,21.643,1.166,8456.8,6352.2,2.4232,55.849,79.303,1.42
chair,989,607.69,1809.1,1351.9,4.1256,13.237,15.477,1.169,6894.0,5084.9,1.9398,35.189,52.483,1.491
cone,187,455.05,1920.4,1433.6,4.3749,10.801,13.299,1.231,6892.3,4972.0,1.8966,21.296,39.089,1.836
cup,99,790.47,3685.3,2818.9,8.6027,21.326,23.762,1.114,12422.0,8736.7,3.3328,39.17,61.513,1.57
curtain,158,406.42,989.1,714.4,2.1802,7.471,7.663,1.026,3744.7,2755.7,1.0512,22.437,27.785,1.238
desk,286,600.59,2359.7,1822.4,5.5614,6.073,7.104,1.17,9398.7,7038.9,2.6851,13.357,22.588,1.691
door,129,369.71,1228.7,906.8,2.7673,4.761,5.054,1.062,5007.2,3778.5,1.4414,8.717,13.601,1.56
dresser,286,939.28,4265.2,3304.1,10.0832,7.047,7.56,1.073,14267.2,10002.0,3.8155,17.14,25.606,1.494
flower_pot,169,675.56,2854.7,2158.0,6.5858,19.319,22.541,1.167,9625.1,6770.4,2.5827,44.441,67.177,1.512
glass_box,271,785.11,4182.3,3287.0,10.0311,6.671,8.017,1.202,14902.2,10719.9,4.0893,17.645,29.045,1.646
guitar,255,201.03,411.4,270.9,0.8266,3.686,4.305,1.168,1505.9,1094.5,0.4175,8.753,14.983,1.712
keyboard,165,296.28,1017.6,763.9,2.3312,7.075,8.865,1.253,4409.8,3392.2,1.294,17.599,30.767,1.748
lamp,144,265.39,1098.9,800.3,2.4424,7.903,8.942,1.132,4060.7,2961.8,1.1298,19.432,28.97,1.491
laptop,169,481.76,2278.2,1779.6,5.4308,7.043,8.533,1.212,9205.3,6927.1,2.6425,14.849,28.81,1.94
mantel,384,618.51,2866.6,2220.5,6.7764,6.901,8.124,1.177,10958.0,8091.4,3.0866,16.936,26.911,1.589
monitor,565,484.63,2104.6,1612.1,4.9197,8.051,8.818,1.095,8194.8,6090.2,2.3232,16.367,24.668,1.507
night_stand,286,830.18,4107.8,3193.6,9.746,7.756,8.775,1.131,13947.3,9839.5,3.7535,18.204,28.937,1.59
person,108,231.82,759.9,565.7,1.7263,7.64,8.485,1.111,3042.3,2282.5,0.8707,25.918,34.905,1.347
piano,331,587.66,2519.5,1922.8,5.8678,8.489,10.172,1.198,9221.2,6701.7,2.5565,18.592,31.632,1.701
plant,340,525.23,1907.3,1394.7,4.2564,16.101,19.289,1.198,6243.4,4336.1,1.6541,41.339,60.683,1.468
radio,124,569.16,2087.0,1586.1,4.8405,6.963,8.04,1.155,7801.4,5714.5,2.1799,14.822,25.203,1.7
range_hood,215,630.06,2657.9,2037.5,6.218,8.191,9.716,1.186,9646.8,6988.8,2.666,17.96,31.007,1.726
sink,148,513.55,2072.1,1563.4,4.7712,8.088,9.564,1.182,7798.1,5726.1,2.1843,18.678,31.003,1.66
sofa,780,624.45,2606.4,2025.7,6.1821,11.934,13.477,1.129,9853.8,7247.4,2.7646,28.245,43.215,1.53
stairs,144,478.36,1636.7,1218.4,3.7184,8.813,10.348,1.174,6177.0,4540.3,1.732,17.946,29.043,1.618
stool,110,330.25,1347.9,993.2,3.031,8.964,10.292,1.148,5176.8,3828.9,1.4606,21.924,32.932,1.502
table,492,507.37,2110.8,1612.0,4.9193,6.888,8.308,1.206,8379.3,6268.5,2.3913,15.217,26.971,1.772
tent,183,500.2,2174.4,1627.6,4.967,9.678,11.866,1.226,7849.2,5674.8,2.1648,20.399,38.054,1.865
toilet,444,668.23,3022.5,2323.7,7.0915,20.316,23.371,1.15,10921.4,7898.9,3.0132,50.759,74.174,1.461
tv_stand,367,623.93,3068.5,2386.3,7.2826,6.221,7.267,1.168,11378.9,8310.4,3.1702,14.386,24.338,1.692
vase,575,608.31,2946.5,2238.4,6.831,22.926,26.212,1.143,10165.3,7218.8,2.7538,53.426,79.466,1.487
wardrobe,107,567.85,2656.8,2032.2,6.2018,5.03,5.286,1.051,9872.1,7215.3,2.7524,11.077,16.828,1.519
xbox,123,488.3,2214.2,1703.2,5.1977,9.958,10.704,1.075,8377.6,6163.4,2.3511,21.515,31.718,1.474
